"task_id","batch","reward","db_match","agent_cost","user_cost","total_cost","duration_seconds","termination_reason"
"5",3,1.0,true,0.076454,0.017557999999999997,0.094012,41.56480128999101,"user_stop"
"13",3,1.0,true,0.034854,0.013226,0.04808,26.8602839600062,"user_stop"
"19",3,1.0,true,0.050980000000000004,0.013352,0.064332,27.519951463036705,"user_stop"
"20",3,0.0,false,0.059726,0.010278,0.070004,28.61647917801747,"user_stop"
"26",3,1.0,true,0.034381999999999996,0.00798,0.042362,20.426702924945857,"user_stop"
"21",3,1.0,true,0.05528600000000001,0.013805999999999999,0.069092,38.464712025015615,"user_stop"
"22",3,1.0,true,0.05965199999999999,0.013024,0.072676,35.16077133000363,"user_stop"
"31",3,1.0,true,0.055632,0.014316,0.06994800000000001,31.184714527975302,"user_stop"
"28",3,1.0,true,0.11013199999999998,0.01902,0.129152,47.484567473002244,"user_stop"
"30",3,1.0,true,0.08805599999999998,0.02174,0.10979599999999999,47.154206865991,"user_stop"
"33",3,1.0,true,0.062192,0.018982,0.08117400000000001,37.11687906598672,"user_stop"
"35",3,1.0,true,0.05451199999999999,0.013492,0.068004,33.00750698201591,"user_stop"
"34",3,0.0,false,0.069974,0.025436,0.09541000000000001,40.576024549023714,"user_stop"
"39",3,1.0,true,0.036854000000000005,0.01269,0.049544,26.65722893597558,"user_stop"
"40",3,1.0,true,0.022584,0.006916,0.029500000000000005,17.32702452497324,"user_stop"
"42",3,1.0,true,0.067422,0.014151999999999998,0.08157400000000001,29.514435973018408,"user_stop"
"44",3,1.0,true,0.03406,0.007258,0.04131800000000001,19.104739601025358,"user_stop"
"45",3,1.0,true,0.05442199999999999,0.013512,0.067934,33.07656947901705,"user_stop"
"49",3,1.0,true,0.051705999999999995,0.009479999999999999,0.06118599999999999,29.20548583799973,"user_stop"
"52",3,1.0,true,0.04998000000000001,0.009572,0.059552000000000015,26.409755804983433,"user_stop"
"55",3,1.0,true,0.040908,0.00943,0.050338,25.485811739985365,"user_stop"
"60",3,1.0,true,0.03374,0.007212,0.040951999999999995,20.070680165023077,"user_stop"
"58",3,1.0,true,0.055167999999999995,0.012827999999999999,0.06799599999999999,28.83783637196757,"user_stop"
"61",3,1.0,true,0.025945999999999997,0.005379999999999999,0.031326,18.466931089002173,"user_stop"
"68",3,1.0,true,0.022955999999999997,0.006836,0.029792000000000003,19.073664613009896,"user_stop"
"63",3,0.0,false,0.055398,0.011137999999999999,0.066536,29.52577598002972,"user_stop"
"66",3,1.0,true,0.079302,0.01674,0.096042,43.44390244799433,"user_stop"
"70",3,1.0,true,0.038234,0.006879999999999999,0.045113999999999994,19.15408369898796,"user_stop"
"73",3,1.0,true,0.025629999999999997,0.004947999999999999,0.030577999999999998,14.645350035978481,"user_stop"
"71",3,0.0,false,0.049164000000000006,0.014459999999999999,0.063624,31.29241102701053,"user_stop"
"75",3,1.0,true,0.041906000000000006,0.012046,0.053952,28.85916707100114,"user_stop"
"81",3,1.0,true,0.040179999999999993,0.013328,0.05350799999999999,28.95860781200463,"user_stop"
"79",3,1.0,true,0.05661599999999999,0.013774000000000002,0.07039000000000001,32.86214605299756,"user_stop"
"83",3,1.0,true,0.05224399999999999,0.01569,0.067934,35.408443001972046,"user_stop"
"87",3,1.0,true,0.040496000000000004,0.008407999999999999,0.048904,24.103659885993693,"user_stop"
"86",3,1.0,true,0.058496,0.007413999999999999,0.06591,35.19627215299988,"user_stop"
"91",3,0.0,false,0.057866,0.014293999999999998,0.07216,29.692245849000756,"user_stop"
"96",3,1.0,true,0.04565599999999999,0.01064,0.05629599999999999,27.03494918497745,"user_stop"
"95",3,1.0,true,0.08530199999999999,0.019384,0.104686,44.29971775802551,"user_stop"
"98",3,0.0,false,0.05601199999999999,0.010126,0.06613799999999999,27.69788769999286,"user_stop"
"100",3,1.0,true,0.066936,0.012557999999999998,0.07949399999999998,31.73065158096142,"user_stop"
"101",3,1.0,true,0.08648,0.016854,0.10333399999999997,39.358888407005,"user_stop"
"102",3,1.0,true,0.07784799999999999,0.013938,0.091786,37.60543102101656,"user_stop"
"107",3,0.0,false,0.07082600000000001,0.014228,0.08505400000000002,34.25189330801368,"user_stop"
"109",3,0.0,false,0.04417000000000001,0.010896,0.055066000000000004,30.13388172897976,"user_stop"
"105",3,1.0,true,0.098144,0.026887999999999995,0.125032,60.18967579602031,"user_stop"
"113",3,1.0,true,0.029092,0.006396,0.035488000000000006,17.849787562037818,"user_stop"
"112",3,0.0,false,0.077138,0.018388,0.095526,51.73128013202222,"user_stop"
